E,v,L,w1,w2,t1,t2,P,x,yout
2.00E+11,0.287,1.2,0.1,0.075,0.006,0.006,2500,0.6,0.00045749
2.13E+11,0.303,3.6,0.1,0.075,0.006,0.006,2500,1.8,0.010855
2.40E+11,0.3,3,0.125,0.075,0.006,0.006,2500,1.5,0.0033814
2.10E+11,0.29,2.4,0.15,0.075,0.006,0.006,2500,1.2,0.0013356
2.35E+11,0.287,2.4,0.175,0.075,0.006,0.006,2500,1.2,0.00085615
2.00E+11,0.3,1.8,0.2,0.075,0.006,0.006,2500,0.9,0.00031423
2.13E+11,0.313,1.2,0.1,0.1,0.006,0.006,2500,0.6,0.00036767
2.40E+11,0.29,3.6,0.1,0.1,0.006,0.006,2500,1.8,0.0079372
2.10E+11,0.303,3.6,0.125,0.1,0.006,0.006,2500,1.8,0.005328
2.35E+11,0.3,3,0.15,0.1,0.006,0.006,2500,1.5,0.0018286
2.00E+11,0.29,2.4,0.175,0.1,0.006,0.006,2500,1.2,0.00078958
2.13E+11,0.287,2.4,0.2,0.1,0.006,0.006,2500,1.2,0.00055248
2.40E+11,0.303,1.8,0.1,0.125,0.006,0.006,2500,0.9,0.00092123
2.10E+11,0.313,1.2,0.125,0.125,0.006,0.006,2500,0.6,0.00020051
2.35E+11,0.29,3.6,0.125,0.125,0.006,0.006,2500,1.8,0.0041206
2.00E+11,0.303,3.6,0.15,0.125,0.006,0.006,2500,1.8,0.0031384
2.13E+11,0.3,3,0.175,0.125,0.006,0.006,2500,1.5,0.0012092
2.40E+11,0.313,2.4,0.2,0.125,0.006,0.006,2500,1.2,0.00041519
2.10E+11,0.287,2.4,0.1,0.15,0.006,0.006,2500,1.2,0.0022257
2.35E+11,0.303,1.8,0.125,0.15,0.006,0.006,2500,0.9,0.0005019
2.00E+11,0.313,1.2,0.15,0.15,0.006,0.006,2500,0.6,0.00012985
2.13E+11,0.29,3.6,0.15,0.15,0.006,0.006,2500,1.8,0.0026291
2.40E+11,0.287,3.6,0.175,0.15,0.006,0.006,2500,1.8,0.0016188
2.10E+11,0.3,3,0.2,0.15,0.006,0.006,2500,1.5,0.00079953
2.35E+11,0.313,2.4,0.1,0.175,0.006,0.006,2500,1.2,0.0018671
2.00E+11,0.287,2.4,0.125,0.175,0.006,0.006,2500,1.2,0.0012451
2.13E+11,0.303,1.8,0.15,0.175,0.006,0.006,2500,0.9,0.00033521
2.40E+11,0.3,1.2,0.175,0.175,0.006,0.006,2500,0.6,7.32E-05
2.10E+11,0.29,3.6,0.175,0.175,0.006,0.006,2500,1.8,0.0016859
2.35E+11,0.287,3.6,0.2,0.175,0.006,0.006,2500,1.8,0.0010989
2.00E+11,0.3,3,0.1,0.2,0.006,0.006,2500,1.5,0.0039929
2.13E+11,0.313,2.4,0.125,0.2,0.006,0.006,2500,1.2,0.001107
2.40E+11,0.29,1.8,0.15,0.2,0.006,0.006,2500,0.9,0.00028147
2.10E+11,0.303,1.8,0.175,0.2,0.006,0.006,2500,0.9,0.00022484
2.35E+11,0.3,1.2,0.2,0.2,0.006,0.006,2500,0.6,5.43E-05
2.00E+11,0.29,3.6,0.2,0.2,0.006,0.006,2500,1.8,0.0011948
2.13E+11,0.287,3.6,0.1,0.075,0.007,0.006,2500,1.8,0.0097784
2.40E+11,0.303,3,0.125,0.075,0.007,0.006,2500,1.5,0.0030303
2.10E+11,0.313,2.4,0.15,0.075,0.007,0.006,2500,1.2,0.001188
2.35E+11,0.29,1.8,0.175,0.075,0.007,0.006,2500,0.9,0.00031688
2.00E+11,0.303,1.8,0.2,0.075,0.007,0.006,2500,0.9,0.00027394
2.13E+11,0.3,1.2,0.1,0.1,0.007,0.006,2500,0.6,0.00032747
2.40E+11,0.313,3.6,0.1,0.1,0.007,0.006,2500,1.8,0.0071718
2.10E+11,0.287,3.6,0.125,0.1,0.007,0.006,2500,1.8,0.004798
2.35E+11,0.303,3,0.15,0.1,0.007,0.006,2500,1.5,0.0016387
2.00E+11,0.313,2.4,0.175,0.1,0.007,0.006,2500,1.2,0.00070212
2.13E+11,0.29,1.8,0.2,0.1,0.007,0.006,2500,0.9,0.0002076
2.40E+11,0.287,1.8,0.1,0.125,0.007,0.006,2500,0.9,0.00082803
2.10E+11,0.3,1.2,0.125,0.125,0.007,0.006,2500,0.6,0.00017724
2.35E+11,0.313,3.6,0.125,0.125,0.007,0.006,2500,1.8,0.0037194
2.00E+11,0.287,3.6,0.15,0.125,0.007,0.006,2500,1.8,0.0028231
2.13E+11,0.303,3,0.175,0.125,0.007,0.006,2500,1.5,0.0010822
2.40E+11,0.3,2.4,0.2,0.125,0.007,0.006,2500,1.2,0.00036801
2.10E+11,0.29,1.8,0.1,0.15,0.007,0.006,2500,0.9,0.00087344
2.35E+11,0.287,1.8,0.125,0.15,0.007,0.006,2500,0.9,0.00044922
2.00E+11,0.3,1.2,0.15,0.15,0.007,0.006,2500,0.6,0.00011385
2.13E+11,0.313,3.6,0.15,0.15,0.007,0.006,2500,1.8,0.0023702
2.40E+11,0.29,3,0.175,0.15,0.007,0.006,2500,1.5,0.00085267
2.10E+11,0.303,3,0.2,0.15,0.007,0.006,2500,1.5,0.00071425
2.35E+11,0.3,2.4,0.1,0.175,0.007,0.006,2500,1.2,0.0016833
2.00E+11,0.29,1.8,0.125,0.175,0.007,0.006,2500,0.9,0.00049445
2.13E+11,0.287,1.8,0.15,0.175,0.007,0.006,2500,0.9,0.0002986
2.40E+11,0.303,1.2,0.175,0.175,0.007,0.006,2500,0.6,6.39E-05
2.10E+11,0.313,3.6,0.175,0.175,0.007,0.006,2500,1.8,0.0015178
2.35E+11,0.29,3,0.2,0.175,0.007,0.006,2500,1.5,0.00058059
2.00E+11,0.303,3,0.1,0.2,0.007,0.006,2500,1.5,0.0036046
2.13E+11,0.3,2.4,0.125,0.2,0.007,0.006,2500,1.2,0.00099585
2.40E+11,0.313,1.8,0.15,0.2,0.007,0.006,2500,0.9,0.0002519
